"Team,Year,Round Reached,Result"
"Kansas City Chiefs,1962,AFL Championship,Lost"
"Kansas City Chiefs,1966,Super Bowl I,Lost"
"Kansas City Chiefs,1969,Super Bowl IV,Win"
"Kansas City Chiefs,1971,Divisional Round,Lost"
"Kansas City Chiefs,1990,Wild Card Round,Lost"
"Kansas City Chiefs,1991,Wild Card Round,Lost"
"Kansas City Chiefs,1992,Wild Card Round,Lost"
"Kansas City Chiefs,1993,Divisional Round,Lost"
"Kansas City Chiefs,1994,Wild Card Round,Lost"
"Kansas City Chiefs,1995,Divisional Round,Lost"
"Kansas City Chiefs,1997,Divisional Round,Lost"
"Kansas City Chiefs,2003,Divisional Round,Lost"
"Kansas City Chiefs,2010,Wild Card Round,Lost"
"Kansas City Chiefs,2013,Wild Card Round,Lost"
"Kansas City Chiefs,2015,Divisional Round,Lost"
"Kansas City Chiefs,2016,Divisional Round,Lost"
"Kansas City Chiefs,2018,AFC Championship,Lost"
"Kansas City Chiefs,2019,Super Bowl LIV,Win"
"Kansas City Chiefs,2020,Super Bowl LV,Lost"
"Kansas City Chiefs,2021,AFC Championship,Lost"
"Detroit Lions,1935,NFL Championship,Win"
"Detroit Lions,1952,NFL Championship,Win"
"Detroit Lions,1953,NFL Championship,Win"
"Detroit Lions,1957,NFL Championship,Win"
"Detroit Lions,1991,Conference Championship,Lost"
"Detroit Lions,2023,Divisional,Win"
"San Francisco 49ers,Super Bowl,5,2"
"San Francisco 49ers,Wild Card,6,2"
"San Francisco 49ers,Divisional,20,8"
"San Francisco 49ers,Conference Championship,7,11"
"San Francisco 49ers,Super Bowl,5,2"
"Baltimore Ravens,All-Time Playoffs,29,17,12"
"Baltimore Ravens,Wild Card Round,11,8,3"
"Baltimore Ravens,Divisional Round,12,5,7"
"Baltimore Ravens,Conference Championship,4,2,2"
"Baltimore Ravens,Super Bowl,2,2,0"
